"ENSG00000132975.7" "ENSG00000163106.9" "ENSG00000172236.15" "ENSG00000188626.6" "ENSG00000197253.12" "ENSG00000230453.8" "ENSG00000232431.3" "ENSG00000248334.5" "ENSG00000254369.5" "ENSG00000267453.5"
"TARGET-20-PADZCG" -4.9298852086283 -1.75078970331051 3.88318384921101 1.682999 2.896547 1.433346 -0.286907 3.081828 2.03427 -4.122922
"TARGET-20-PAEAKL" -4.41383681759027 -6.92714510255903 0.329056149129153 3.457917 -0.7644684 -1.237154 3.691902 4.457377 1.725578 -6.927145
"TARGET-20-PAEIKD" -5.93368996504202 -0.0697872944917257 3.00372864036767 4.827923 5.89322 -4.615703 1.644732 5.91519 1.408504 -0.09466
"TARGET-20-PAKIWK" -4.79600557250052 0.821764156119265 1.02580720848984 -2.959109 1.658338 0.8065687 -5.225039 2.115204 -1.511167 -2.11747
"TARGET-20-PAKIYW" -3.97734182524155 0.724706673051057 5.57239703126799 1.066773 1.122772 -2.772036 -0.3046051 3.374588 1.047612 1.853887
"TARGET-20-PAKLPD" -4.55511504325066 -3.32570514847158 -1.70999256840296 2.660653 0.4776546 -4.211489 2.491941 4.639517 4.077454 -2.780917
"TARGET-20-PAKVGI" -2.73392211925838 -1.36903746180522 -2.25480609420834 -2.733922 -2.175491 -4.970281 -0.4529315 5.369723 3.291222 -3.890566
"TARGET-20-PAMYAS" 3.26593483899336 4.57039504263193 4.99393586826677 -6.927145 6.016512 -5.377763 -6.927145 0.6118897 -6.927145 6.918226
"TARGET-20-PAMYGX" -6.14093711951908 -3.54600518712321 -3.11550532049371 3.801127 -3.649989 5.296536 1.966371 5.708708 5.424843 -6.927145
"TARGET-20-PANDIX" -6.92714510255904 -2.30816568292934 3.61943911129989 0.2960859 2.819735 1.096879 0.6328655 4.594318 -0.9907162 -6.021748
"TARGET-20-PANFMG" -5.72335977605491 2.6518152083593 1.06077774514038 4.437998 4.261533 -2.100745 1.503751 5.126167 1.837869 -5.72336
"TARGET-20-PANGDN" -5.10703656847931 -3.02787984776721 0.410239783499496 2.758655 2.269935 -3.155747 2.342724 4.736669 2.933795 -5.747291
"TARGET-20-PANGJY" -6.92714510255903 0.513386004833046 -1.91518719587255 -5.611652 0.2270953 -2.807988 -2.689392 0.06782174 3.393039 -4.476496
"TARGET-20-PANKNB" -6.92714510255903 1.2587855515093 4.73911250349683 3.336705 6.813816 -4.503808 3.341817 3.494214 1.823945 -4.503808
"TARGET-20-PANPKN" -4.48386172340258 -0.670525396027738 1.53090755966469 -5.617041 1.001541 -2.486571 -6.927145 2.428163 -2.816487 -1.015843
"TARGET-20-PANSBH" -0.824137497795189 0.264160532268334 2.94385275393339 -2.579952 0.2641605 -4.381589 -4.848004 0.7805472 -0.1797133 -4.02969
"TARGET-20-PANTNA" 1.59290388286088 4.65880809261162 10.7312773677356 -3.181871 9.662716 -2.633222 -4.890612 3.00472 0.02183062 1.580659
"TARGET-20-PAPBEJ" -3.78766922067632 -1.32010370001293 -2.87194267727972 -4.293011 -4.766219 4.505323 -3.937273 4.734421 -0.1523509 -4.5103
"TARGET-20-PAPXRJ" -4.97230218515691 -0.503167898724983 4.45191925104792 -3.659578 5.611202 1.350139 -6.927145 1.810126 3.706721 -3.125436
"TARGET-20-PARBIU" -5.46590894137627 -0.24485793454247 -3.01760861637399 6.445781 -4.280907 4.142282 4.353266 6.941725 3.360945 -6.018931
"TARGET-20-PARBRA" -5.67677241484337 -5.67677241484337 -0.469701685364681 3.665436 -5.017158 4.6778 4.99631 5.017664 4.171069 -5.676772
"TARGET-20-PARCUK" -1.54465776190097 -4.39358768728505 -0.161949001528868 2.647649 -0.3663608 -1.180571 3.813497 3.736775 2.504888 -1.464118
"TARGET-20-PARDDY" -5.77350058480561 4.01981631927503 2.64568960494527 -0.7321841 -0.5510912 2.040654 -5.773501 4.712864 -2.001428 1.53435
"TARGET-20-PARKCX" -6.92714510255904 -1.98206666263933 0.169932783490753 4.414485 0.5633302 -0.8964086 3.277516 6.294924 2.665958 -2.292334
"TARGET-20-PARPDS" -3.84128646449514 1.56689673236432 1.78299471054857 -4.559377 1.347942 -4.559377 -6.053502 0.502893 -1.89916 -6.053502
"TARGET-20-PARUNX" -6.92714510255904 5.88264086352391 4.07222858406466 -6.927145 4.38199 -2.571712 -6.927145 -0.2070097 0.2286788 2.01328
"TARGET-20-PARUTH" 0.606817567537654 3.49428585453903 10.4782772116289 -3.394032 8.546693 -4.459152 -6.927145 -2.189161 -0.7875536 6.420585
